character,attributes
sarutobi_asuma_(naruto_(series)),"1boy, konohagakure_shinobi_uniform, flak_jacket, jacket, green_jacket, headband, facial_hair, black_hair, short_hair, chest_hair, navel_hair, hairy"
sovereign_(sekaiju),"1girl, tiara, dress, armor, jewelry, armored_dress, earrings, ponytail, puffy_sleeves, twintails, white_dress, blonde_hair"
termichan_(not-a-bot),"1girl, large_breasts, thighhighs, ponytail, shorts, black_thighhighs, gloves, ribbon, black_shorts, cleavage, short_shorts, black_gloves"
harukawa_sora_(ensemble_stars!),"1boy, shirt, jacket, jewelry, long_sleeves, hat, earrings, gloves, hood, double-parted_bangs, hoodie, shorts"
hatsune_miku_(vocaloid3),"1girl, twintails, detached_sleeves, necktie, skirt, shirt, white_shirt, pleated_skirt, sleeveless_shirt, aqua_necktie, black_skirt, thighhighs"
gloire_(kancolle),"1girl, medium_breasts, large_breasts, shirt, skirt, hat, white_shirt, dress, gloves, white_gloves, white_hat, black_skirt"
haruka_karibu_(vshojo),"1girl, large_breasts, medium_breasts, animal_ears, horns, deer_ears, flower, dress, cleavage, detached_sleeves, gloves, green_dress"
hakui_koyori_(school_uniform),"1girl, large_breasts, animal_ears, wolf_ears, skirt, ribbon, hair_ribbon, shirt, sailor_collar, tail, white_shirt, school_uniform"
zheng_chenggong_(fate),"1boy, ponytail, low-tied_sidelocks, high_ponytail, robe, red_robe, hair_tie, long_sleeves, long_hair, green_hair, black_hair, red_eyes"
sherlock_holmes_(the_adventures_of_sherlock_holmes),"1girl, 1boy, hat, shirt, brown_hat, white_shirt, capelet, long_sleeves, coat, collared_shirt, gloves, bow"
hokma_(project_moon),"1boy, 1girl, coat, white_coat, long_sleeves, shirt, jacket, necktie, collared_shirt, coat_on_shoulders, white_shirt, belt"
no._21:_feral_(pgr),"1girl, small_breasts, animal_ears, wolf_ears, detached_sleeves, mechanical_ears, bodysuit, black_bodysuit, thighhighs, black_thighhighs, black_sleeves, long_sleeves"
kongiku_(oboro_muramasa),"1girl, large_breasts, huge_breasts, animal_ears, fox_ears, kimono, cleavage, tail, fox_tail, sidelocks_tied_back, collarbone, orange_kimono"
haqua_d'rot_herminium_(kami_nomi_zo_shiru_sekai),"1girl, small_breasts, thighhighs, skirt, choker, red_thighhighs, panties, black_thighhighs, long_hair, hair_ornament, red_eyes, purple_hair"
himeji_mizuki_(baka_to_test_to_shoukanjuu),"1girl, large_breasts, school_uniform, swimsuit, cleavage, panties, shirt, skirt, bikini, necktie, pink_hair, long_hair"
shylily_(bikini),"1girl, large_breasts, bikini, swimsuit, blue_bikini, tail, fish_tail, cetacean_tail, animal_ears, collar, blue_collar, cleavage"
hatena_yousei_(benesse),"1girl, loli, hat, pink_hat, cape, fang, boots, pink_cape, gloves, no_panties, panties, short_sleeves"
dateko_(92m),"1girl, large_breasts, medium_breasts, glasses, swimsuit, casual_one-piece_swimsuit, one-piece_swimsuit, strapless_one-piece_swimsuit, bikini, blue_dress, cleavage, dress"
firewatch_(arknights),"1girl, small_breasts, horns, gloves, shirt, jacket, black_gloves, ponytail, dress, green_jacket, long_sleeves, skirt"
isaki_kaname_(nagi_no_asukara),"1boy, 1girl, school_uniform, nami_junior_high_school_uniform, sailor_collar, mihama_junior_high_school_uniform, blue_eyes, brown_hair, blonde_hair, short_hair, closed_eyes"
raymond_(animal_crossing),"1boy, glasses, necktie, animal_ears, shirt, cat_ears, white_shirt, tail, cat_tail, long_sleeves, blue_necktie, collared_shirt"
kamen_rider_kabuto_(kamen_rider),"1boy, 1girl, horns, belt, armor, bodysuit, rider_belt_(kabuto), rider_belt, red_armor, black_bodysuit, gloves, mask"
nqrse_(indie_utaite),"1girl, long_sleeves, hood, shirt, hoodie, jewelry, bow, dress, skirt, black_hoodie, earrings, frills"
master_artoria_(fate_(series)),"1girl, small_breasts, school_uniform, serafuku, skirt, ribbon, hair_ribbon, pleated_skirt, braid, bag, blue_skirt, shirt"
trainer_(idolmaster),"1girl, medium_breasts, large_breasts, ponytail, shorts, panties, shirt, collarbone, shirt_lift, black_shorts, jewelry, side_ponytail"
orchis_(granblue_fantasy),"1girl, small_breasts, twintails, dress, hat, black_dress, gloves, elbow_gloves, mini_hat, frills, black_hat, frilled_dress"
bremerton_(day-off_date)_(azur_lane),"1girl, large_breasts, between_breasts, strap_between_breasts, huge_breasts, twintails, sweater, off-shoulder_sweater, cleavage, choker, dress, sweater_dress"
tongkkangi_(streamer),"1boy, bow, braid, hair_bow, shirt, shorts, choker, twintails, gloves, black_choker, sleeveless_shirt, white_shirt"
monk_(sekaiju),"1girl, flat_chest, twintails, braid, pants, no_panties, shirt, boots, lowleg_pants, red_shirt, blue_eyes, long_hair"
vf-25_(macross),"1girl, large_breasts, gloves, thighhighs, green_hair, short_hair, red_eyes, blue_hair, long_hair, brown_eyes, green_eyes"
faye_(fire_emblem),"1girl, medium_breasts, braid, twin_braids, bow, hair_bow, dress, low-braided_long_hair, low-tied_long_hair, short_sleeves, collarbone, flower"
helena_douglas_(dead_or_alive),"1girl, large_breasts, huge_breasts, ponytail, cleavage, bow, ribbon, hair_bow, swimsuit, jewelry, thighhighs, hair_ribbon"
kuga_yuuma_(world_trigger),"1boy, long_sleeves, jacket, gloves, mikumo_squad's_uniform, pants, black_gloves, blue_jacket, boots, uniform, black_pants, hood"
bremerton_(relaxation_consultation)_(azur_lane),"1girl, huge_breasts, large_breasts, cleavage, collarbone, thighhighs, jacket, black_jacket, white_thighhighs, panties, bracelet, jewelry"
fiz_(fizintine),"1girl, large_breasts, animal_ears, rabbit_ears, rabbit_tail, tail, thighhighs, white_thighhighs, panties, shoes, shirt, shorts"
mogador_(locker_room_lechery)_(azur_lane),"1girl, huge_breasts, large_breasts, swimsuit, one-piece_swimsuit, flower, hair_flower, black_one-piece_swimsuit, white_flower, jewelry, cleavage, bracelet"
kurashiki_akane_(kyokugen_dasshutsu),"1girl, long_sleeves, scarf, dress, black_scarf, flower, hair_flower, purple_dress, boots, socks, brown_hair, long_hair"
hisou_tensoku_(touhou),"1girl, wings, hat, skirt, glowing_eyes, short_hair, long_hair, hair_ornament, blue_hair"
kagura_nana_(indie_virtual_youtuber),"1girl, small_breasts, jacket, bow, long_sleeves, ribbon, fang, hair_bow, braid, shirt, black_jacket, skirt"
sparkle_(doll)_(honkai:_star_rail),"1girl, medium_breasts, small_breasts, twintails, mask, fox_mask, mask_on_head, dress, red_dress, gloves, black_gloves, sash"
xueyi_(honkai:_star_rail),"1girl, medium_breasts, shirt, jewelry, white_shirt, mask, gloves, oni_mask, shorts, black_shorts, off-shoulder_shirt, cleavage"
boyfriend_(friday_night_funkin'),"1boy, 1girl, medium_breasts, shirt, hat, white_shirt, red_hat, pants, backwards_hat, shoes, red_shoes, t-shirt"
kipfel_(vrchat),"1girl, long_sleeves, animal_ears, shirt, collared_shirt, sweater_vest, tail, cat_ears, necktie, hat, skirt, ribbon"
delcatty_(pokemon),"1girl, tail, gloves, miniskirt, pleated_skirt, skirt, thighhighs, blonde_hair, long_hair"
exia_(nikke),"1girl, medium_breasts, small_breasts, headphones, shirt, bags_under_eyes, white_shirt, jacket, choker, panties, white_jacket, black_choker"
sumia_(fire_emblem),"1girl, large_breasts, thighhighs, armor, dress, shoulder_armor, gloves, belt, garter_straps, elbow_gloves, boots, cleavage"
cerberus_(kemono_friends),"1girl, large_breasts, huge_breasts, medium_breasts, animal_ears, tail, collar, dog_ears, gloves, spiked_collar, elbow_gloves, shorts"
kolin_(street_fighter),"1girl, large_breasts, medium_breasts, hat, gloves, fur_hat, thighhighs, black_gloves, black_thighhighs, boots, long_sleeves, skirt"
seaking_(pokemon),"1girl, horns, fangs, wide_sleeves, bow, hair_bow, black_eyes, long_hair, black_hair, brown_eyes"
whispy_woods_(kirby_(series)),"1girl, 1boy, animal_ears, fox_ears, fox_tail, hat, shirt, shorts, tail, aqua_shirt, bag, black_pants"
toadette_(mario_(series)),"1girl, dress, pink_dress, braid, short_sleeves, gloves, twin_braids, bow, hat, super_crown, crown, puffy_short_sleeves"
fionna_campbell_(adventure_time),"1girl, large_breasts, medium_breasts, hood, animal_hood, thighhighs, skirt, bag, rabbit_hood, white_thighhighs, animal_ears, shirt"
logician_(16personalities),"1girl, ponytail, coat, glasses, lab_coat, long_sleeves, white_coat, shirt, collared_shirt, open_coat, high_ponytail, pants"
eleanor_hume_(tales_of_(series)),"1girl, twintails, dress, gloves, fingerless_gloves, white_gloves, white_dress, blue_sleeves, jacket, blue_jacket, short_twintails, boots"
obey_your_master_(umamusume),"1girl, large_breasts, medium_breasts, animal_ears, horse_ears, jewelry, horse_tail, tail, cleavage, shirt, belt, white_belt"
lt._surge_(pokemon),"1boy, sunglasses, pants, jewelry, belt, camouflage_pants, shirt, boots, gloves, black_gloves, fingerless_gloves, green_pants"
pirotess_(record_of_lodoss_war),"1girl, large_breasts, breasts_apart, medium_breasts, pointy_ears, gloves, thighhighs, jewelry, cleavage, boots, thigh_boots, dress"
bartholomew_kuma_(one_piece),"1boy, animal_ears, bear_ears, hat, glasses, pants, gloves, jacket, long_sleeves, bucket_hat, high_collar, white_pants"
saotome_ako_(aikatsu_stars!),"1girl, small_breasts, blunt_bangs, bow, hair_bow, fang, yellow_bow, shirt, dress, collarbone, gloves, long_sleeves"
mk23_(girls'_frontline),"1girl, medium_breasts, large_breasts, tail, cat_tail, jewelry, earrings, animal_ears, cat_ears, heart_earrings, cleavage, gloves"
andromeda_(fate),"1girl, large_breasts, braid, crown_braid, jewelry, cleavage, twintails, low_twintails, swimsuit, detached_sleeves, bikini, bracelet"
sasaki_fuuka_(watashi_ga_motenai_no_wa_dou_kangaetemo_omaera_ga_warui!),"1girl, large_breasts, medium_breasts, between_breasts, clothes_between_breasts, necktie_between_breasts, ponytail, shirt, school_uniform, skirt, white_shirt, collarbone"
ootori_chihaya_(rewrite),"1girl, medium_breasts, school_uniform, thighhighs, skirt, jacket, black_thighhighs, long_sleeves, ribbon, plaid_skirt, winged_hair_tie, green_skirt"
husk_(hazbin_hotel),"1boy, 1girl, wings, bow, bowtie, traditional_bowtie, red_wings, pants, animal_ears, hat, tail, black_hat"
hoshimachi_suisei_(oriental_suit),"1girl, jewelry, earrings, long_sleeves, coat, hat, shirt, skirt, belt, jacket, sunglasses, hanafuda_earrings"
sugimoto_chisato_(baby_walkure),"1girl, jacket, shirt, bow, bowtie, red_jacket, short_sleeves, white_shirt, black_hair, long_hair, black_eyes"
shenron_(dragon_ball),"1boy, 1girl, horns, jewelry, shirt, tail, bikini, dragon_horns, monkey_tail, pants, sash, swimsuit"
elekid_(pokemon),"1girl, fangs, skin_fangs, hood, hoodie, black_eyes, closed_eyes"
ingrid_brandl_galatea_(summer),"1girl, medium_breasts, large_breasts, swimsuit, bikini, green_bikini, off-shoulder_bikini, gloves, fingerless_gloves, flower, hair_flower, shorts"
miilkywayz_(indie_virtual_youtuber),"1girl, huge_breasts, large_breasts, horns, animal_ears, cow_ears, cow_horns, tail, cow_tail, cleavage, thighhighs, blue_horns"
izumi_kanagi_(magia_record:_mahou_shoujo_madoka_magica_gaiden),"1girl, medium_breasts, dress, long_sleeves, gloves, thighhighs, cape, detached_sleeves, cleavage, black_thighhighs, maid_headdress, frills"
asukagawa_chise_(gridman_universe),"1girl, small_breasts, flat_chest, braid, twin_braids, skirt, twintails, black_skirt, gloves, blunt_bangs, jewelry, shirt"
sawatari_izumi_(kore_ga_watashi_no_goshujin-sama),"1girl, large_breasts, nakabayashi_yoshitaka's_maid_uniform, elbow_gloves, gloves, maid_headdress, white_gloves, apron, detached_collar, thighhighs, frills, dress"
nacchan_(ohisashiburi),"1girl, medium_breasts, large_breasts, long_sleeves, cleavage, jewelry, skirt, swimsuit, flower, bow, earrings, shirt"
lunatic_(tiger_&_bunny),"1boy, gloves, mask, cape, pants, long_hair, blue_eyes, glowing_eyes, grey_hair, white_hair, hair_ornament, hairclip"
yamabushi_kunihiro_(touken_ranbu),"1boy, jewelry, gloves, fingerless_gloves, headdress, shirt, red_eyes, aqua_hair, blue_hair, eyeshadow, short_hair"
frederica_baumann_(re:zero_kara_hajimeru_isekai_seikatsu),"1girl, large_breasts, medium_breasts, maid_headdress, cleavage, roswaal_mansion_maid_uniform, dress, long_sleeves, ribbon, apron, frills, black_ribbon"
akari_(princess_connect!),"1girl, large_breasts, medium_breasts, twintails, horns, wings, demon_horns, short_twintails, demon_wings, skirt, black_horns, tail"
cure_custard_(precure),"1girl, tail, squirrel_tail, animal_ears, squirrel_ears, gloves, elbow_gloves, white_gloves, choker, jewelry, earrings, orange_tail"
silky_anteater_(kemono_friends),"1girl, bow, tail, anteater_tail, anteater_ears, bowtie, long_sleeves, hair_bow, animal_ears, frills, black_bow, shoes"
hirose_sumire_(saki_(manga)),"1girl, medium_breasts, school_uniform, shiraitodai_school_uniform, skirt, belt, bikini, dress, serafuku, shirt, short_sleeves, swimsuit"
kondou_isami_(fate),"1boy, kimono, braid, black_kimono, long_sleeves, sandals, single_braid, gloves, black_gloves, wide_sleeves, socks, long_hair"
super_sailor_jupiter_(bishoujo_senshi_sailor_moon),"1girl, medium_breasts, sailor_senshi_uniform, ponytail, sailor_collar, bow, gloves, skirt, green_sailor_collar, green_skirt, jewelry, choker"
kagari_(rewrite),"1girl, small_breasts, ribbon, dress, black_dress, red_ribbon, arm_ribbon, short_sleeves, puffy_sleeves, puffy_short_sleeves, frills, long_ribbon"
kotetsu_isane_(bleach),"1girl, large_breasts, huge_breasts, cleavage, jewelry, earrings, swimsuit, collarbone, kimono, long_sleeves, bikini, black_kimono"
windblade_(transformers),"1girl, medium_breasts, wings, mechanical_wings, armor, panties, red_panties, shoulder_armor, blue_eyes, glowing_eyes"
kanzaki_h._aria_(hidan_no_aria),"1girl, small_breasts, twintails, horns, fake_horns, thighhighs, school_uniform, skirt, black_thighhighs, serafuku, pleated_skirt, red_skirt"
pepper_(pepper&carrot),"1girl, hat, witch_hat, shirt, long_sleeves, collared_shirt, center_frills, frilled_shirt, frills, skirt, miniskirt, shoes"
tenochtitlan_(swimsuit_mooncancer)_(third_ascension)_(fate),"1girl, medium_breasts, small_breasts, animal_ears, rabbit_ears, leotard, black_leotard, gloves, highleg_leotard, fake_animal_ears, jacket, detached_collar"
marufuji_sho_(yu-gi-oh!),"1boy, glasses, long_sleeves, shirt, jacket, pants, black_pants, coat, crossdressing, crossdressing_(mtf), hood, puffy_sleeves"
hachiko_of_castling_(last_origin),"1girl, large_breasts, animal_ears, dog_ears, dog_tail, tail, dress, thighhighs, shoes, fang, cleavage, collar"
cloudy_(wuthering_waves),"1girl, bow, dress, pink_bow, hair_bow, twintails, white_dress, low_twintails, bowtie, skirt, black_dress, short_sleeves"
leylah_(honkai_impact),"1girl, large_breasts, medium_breasts, gloves, dress, black_dress, earrings, jewelry, cleavage, black_gloves, braid, glasses"
yuri_(girls_und_panzer),"1girl, large_breasts, jacket, keizoku_military_uniform, blue_jacket, skirt, track_jacket, bikini, cleavage, swimsuit, long_sleeves, shirt"
green_lantern_(dc_comics),"1boy, 1girl, bodysuit, jewelry, gloves, green_bodysuit, black_bodysuit, white_gloves, multicolored_bodysuit, two-tone_bodysuit, boots, mask"
himekawa_yoshino_(spirit),"1girl, hood, animal_hood, coat, animal_ears, rabbit_ears, dress, boots, green_boots, long_sleeves, green_coat, white_dress"
thomas_edison_(fate),"1boy, 1girl, gloves, bodysuit, blue_bodysuit, red_gloves, animal_ears, lion_ears, thighhighs, white_hair, lion_hair, blue_eyes"
fuyuan_(honkai:_star_rail),"1girl, large_breasts, medium_breasts, colored_extremities, pointy_ears, cleavage, detached_sleeves, dress, jewelry, blunt_bangs, shoes, white_sleeves"
isuzu_ren_(mahou_shoujo_madoka_magica),"1girl, flower, long_sleeves, ribbon, hair_flower, white_flower, blue_ribbon, hair_ribbon, thighhighs, wide_sleeves, choker, black_thighhighs"
hero's_son_(dq5),"1girl, 1boy, medium_breasts, large_breasts, bracelet, jewelry, boots, cape, belt, cleavage, dress, low_ponytail"
suzuka_gozen_(swimsuit_rider)_(second_ascension)_(fate),"1girl, large_breasts, animal_ears, fox_ears, bikini, swimsuit, jewelry, pink_bikini, sunglasses, bracelet, leopard_print_bikini, print_bikini"
v_(devil_may_cry),"1boy, jewelry, coat, gloves, black_coat, fingerless_gloves, black_gloves, pants, bracelet, sleeveless_coat, belt, black_pants"
yasuhara_ema_(shirobako),"1girl, medium_breasts, twintails, low_twintails, skirt, necktie, shirt, panties, long_sleeves, socks, jacket, black_hair"
dartrix_(pokemon),"wings, feathered_wings, web_address, hood, closed_eyes, curtained_hair, brown_eyes, hair_flip, red_eyes"
asuka_momoko_(ojamajo_doremi),"1girl, hat, jewelry, dress, gloves, boots, earrings, puffy_sleeves, short_sleeves, witch_hat, skirt, yellow_gloves"
quinella_(sword_art_online),"1girl, large_breasts, hair_over_breasts, medium_breasts, breasts_apart, collarbone, choker, cleavage, dress, white_choker, parted_bangs, barefoot_sandals_(jewelry)"
kuroki_rei_(vividred_operation),"1girl, medium_breasts, scarf, school_uniform, national_shin_ooshima_school_uniform, thighhighs, shorts, short_shorts, purple_scarf, black_thighhighs, bikini, swimsuit"
katsushika_hokusai_(third_ascension)_(fate),"1girl, large_breasts, medium_breasts, dress, black_dress, collarbone, long_sleeves, cleavage, flower, hair_flower, black_gloves, fishnet_thighhighs"
nel_(fire_emblem),"1girl, large_breasts, medium_breasts, cleavage, jewelry, long_sleeves, asymmetrical_bangs, cleavage_cutout, gloves, dress, armored_collar, parted_bangs"
sistine_fibel_(rokudenashi_majutsu_koushi_to_akashic_record),"1girl, small_breasts, medium_breasts, alzano_school_uniform, ribbon, school_uniform, skirt, thighhighs, gloves, garter_straps, capelet, pleated_skirt"
glorious_(azur_lane),"1girl, large_breasts, flower, choker, cleavage, dress, hair_flower, wide_sleeves, braid, red_choker, red_dress, white_flower"
shera_l._greenwood_(isekai_maou_to_shoukan_shoujo_no_dorei_majutsu),"1girl, large_breasts, pointy_ears, collar, metal_collar, gloves, elbow_gloves, cleavage, white_gloves, dress, thighhighs, boots"
cure_parfait_(kirakira_precure_a_la_mode),"1girl, gloves, white_gloves, dress, jewelry, earrings, elbow_gloves, wings, ponytail, animal_ears, white_wings, tail"
aeru_(simoun),"1girl, long_sleeves, panties, thighhighs, jewelry, blonde_hair, green_eyes, hair_bun"
ryuugazaki_rei_(free!),"1boy, 1girl, glasses, jacket, shirt, open_jacket, blue_hair, purple_eyes, short_hair, long_hair, purple_hair"
shiramine_rika_(original),"1girl, medium_breasts, shirt, white_shirt, gym_uniform, short_sleeves, leotard, school_uniform, swimsuit, collarbone, long_sleeves, sailor_collar"
detective_pikachu_(character),"hat, brown_hat, closed_eyes, brown_eyes"
suzumiya_haruka_(kimi_ga_nozomu_eien),"1girl, medium_breasts, large_breasts, braid, bow, ribbon, hair_bow, hair_ribbon, school_uniform, twin_braids, hakuryou_high_school_uniform, cleavage"
osawa_rurino_(summer_loungewear),"1girl, glasses, parted_bangs, long_sleeves, shirt, brown_shirt, fang, skin_fang, pants, sleeves_past_wrists, blonde_hair, long_hair"
ryugasaki_rene_(1st_costume),"1girl, large_breasts, medium_breasts, horns, demon_horns, pointy_ears, jacket, black_jacket, black_sports_bra, sports_bra, open_jacket, two-tone_sports_bra"
brigid_(fire_emblem),"1girl, large_breasts, medium_breasts, headband, gloves, belt, dress, cleavage, bow_(weapon), fingerless_gloves, thighhighs, boots"
captain_amari_(overwatch),"1girl, large_breasts, hat, jacket, coat, gloves, black_gloves, blue_coat, blue_jacket, open_coat, bikini, swimsuit"
kokutou_azaka_(kara_no_kyoukai),"1girl, medium_breasts, school_uniform, reien_girl's_academy_school_uniform, dress, gloves, long_sleeves, skirt, necktie, shirt, blue_dress, long_hair"
yuzurizaki_nero_(tantei_opera_milky_holmes),"1girl, flat_chest, hat, shorts, bow, school_uniform, socks, yellow_shorts, long_sleeves, skirt, green_eyes, short_hair"
akutagawa_ryuunosuke_(bungou_stray_dogs),"1boy, long_sleeves, ascot, shirt, jacket, coat, white_ascot, white_shirt, black_coat, pants, black_jacket, collared_shirt"
kirasaka_sayaka_(strike_the_blood),"1girl, large_breasts, medium_breasts, ponytail, ribbon, hair_ribbon, high_ponytail, thighhighs, black_thighhighs, cleavage, pink_ribbon, panties"
suzuki_arisa_(akarui_kioku_soushitsu),"1girl, kimono, long_hair"
judith_lanster_(eiyuu_densetsu),"1girl, large_breasts, ponytail, double-parted_bangs, jewelry, earrings, cleavage, sunglasses, thighhighs, shorts, animal_ears, multicolored_hair"
princess_laura_(dragon_quest),"1girl, medium_breasts, large_breasts, jewelry, dress, tiara, gloves, elbow_gloves, white_gloves, puffy_sleeves, yellow_dress, earrings"
pekomama_(1st_costume),"1girl, mature_female, large_breasts, huge_breasts, animal_ears, rabbit_ears, braid, braided_ponytail, dress, white_dress, bow, bodysuit"
god_gundam_(gundam),"1girl, mobile_suit, green_eyes, glowing_eyes"
regal_bryan_(tales_of_(series)),"1boy, pants, green_pants, shirt, belt, white_shirt, brown_belt, collarbone, boots, black_gloves, brown_boots, coat"
yuki_miku_(2010),"1girl, twintails, detached_sleeves, necktie, skirt, shirt, thighhighs, white_shirt, blue_necktie, sleeveless_shirt, pleated_skirt, boots"
mori_calliope_(new_year),"1girl, large_breasts, kimono, flower, hair_flower, black_kimono, mask, cleavage, fox_mask, detached_collar, red_flower, sash"
tribios_(honkai:_star_rail),"1girl, large_breasts, medium_breasts, pointy_ears, dress, white_dress, flower, hair_flower, jewelry, cleavage, white_flower, bracelet"
hata-tan_(rui_(hershe))_(touhou),"1girl, medium_breasts, large_breasts, twintails, hat, tokin_hat, necktie, skirt, shirt, short_sleeves, checkered_skirt, thighhighs"
leila_malcal_(code_geass),"1girl, large_breasts, medium_breasts, thighhighs, cleavage, boots, necktie, swimsuit, twintails, bikini, mecha_pilot_suit, wzero_pilot_suit"
tooyama_kazuha_(meitantei_conan),"1girl, ponytail, ribbon, hair_ribbon, high_ponytail, long_sleeves, shirt, skirt, yellow_ribbon, collarbone, white_shirt, miniskirt"
tsukamoto_tenma_(school_rumble),"1girl, medium_breasts, school_uniform, skirt, red_skirt, ribbon, shirt, pleated_skirt, long_sleeves, red_ribbon, socks, white_shirt"
celica_a._mercury_(blazblue),"1girl, medium_breasts, ponytail, skirt, cape, ribbon, hair_ribbon, school_uniform, pleated_skirt, miniskirt, red_ribbon, bow"
haruna_(aoki_hagane_no_arpeggio),"1girl, medium_breasts, twintails, thighhighs, coat, black_thighhighs, bra, dress, panties, black_bra, black_panties, cleavage"
wendy_corduroy_(gravity_falls),"1girl, medium_breasts, large_breasts, hat, shirt, jewelry, earrings, fur_hat, pants, swimsuit, cleavage, one-piece_swimsuit"
happiny_(pokemon),"flower, black_eyes, closed_eyes"
hong_meiling_(panda),"1girl, hat, braid, twin_braids, dress, ribbon, wings, short_hair, blue_eyes, blue_hair, long_hair, red_hair"
davi_(precure),"1girl, large_breasts, jewelry, earrings, choker, glasses, purple_choker, thighhighs, boots, ponytail, skirt, gloves"
screwllum_(honkai:_star_rail),"1boy, ascot, hat, red_ascot, black_hat, coat, gloves, jewelry, brown_coat, long_sleeves, shirt, black_gloves"
giant_armadillo_(kemono_friends),"1girl, large_breasts, armadillo_ears, hat, armadillo_tail, shirt, blunt_bangs, skirt, extra_ears, necktie, gloves, animal_ears"
billy_russell_(dickfish),"1boy, glasses, shirt, hat, military_uniform, pants, short_hair, facial_hair, navel_hair"
tachibana_rei_(pani_poni_dash!),"1girl, large_breasts, glasses, shirt, long_sleeves, open_shirt, necktie, no_bra, school_uniform, panties, swimsuit, long_hair"
nikola_tesla_(fate),"1boy, gloves, long_sleeves, jacket, white_gloves, cape, pants, shirt, coat, buttons, long_hair, black_hair"
komajirou_(youkai_watch),
suzuya_(azur_lane),"1girl, large_breasts, huge_breasts, horns, gloves, white_gloves, shirt, skirt, white_shirt, blue_skirt, pleated_skirt, red_horns"
thea_(nekojira),"1girl, large_breasts, horns, pointy_ears, tail, demon_horns, demon_tail, wings, demon_wings, black_horns, long_sleeves, low_wings"
symonne_(tales),"1girl, small_breasts, flower, twintails, braid, hair_flower, choker, jewelry, black_choker, bracelet, thighhighs, belt"
kiyama_harumi_(toaru_kagaku_no_railgun),"1girl, medium_breasts, large_breasts, bags_under_eyes, lab_coat, necktie, skirt, pencil_skirt, bra, panties, shirt, brown_hair"
mizuki_(kutan),"1girl, huge_breasts, large_breasts, animal_ears, fox_ears, tail, thighhighs, fox_tail, leotard, highleg_leotard, collar, white_thighhighs"
reaper_(final_fantasy),"1girl, 1boy, gloves, black_gloves, hat, jewelry, armor, cape, shoulder_armor, black_hat, hat_feather, earrings"
shirayuki_(arknights),"1girl, large_breasts, animal_ears, mask, mouth_mask, weasel_ears, gloves, ninja_mask, fingerless_gloves, tail, weasel_tail, shirt"
yorra_villeneuve_(nyantcha),"1girl, medium_breasts, large_breasts, sweater, gloves, long_sleeves, thighhighs, leotard, black_sweater, jewelry, multicolored_hair, split-color_hair"
fujimaru_ritsuka_(female)_(tropical_summer),"1girl, medium_breasts, large_breasts, shirt, hawaiian_shirt, sunglasses, shorts, jewelry, white_shorts, cleavage, short_shorts, tied_shirt"
sakuya_(sister_princess),"1girl, medium_breasts, twintails, skirt, panties, school_uniform, bow, long_sleeves, jacket, swimsuit, bikini, blue_jacket"
bergman's_bear_(kemono_friends),"1girl, large_breasts, huge_breasts, animal_ears, bear_ears, bow, hair_bow, shirt, bowtie, frills, skirt, extra_ears"
iris_yuma_(soulworker),"1girl, large_breasts, cleavage, thighhighs, long_sleeves, skirt, shirt, gloves, collarbone, swimsuit, hat, bikini"
plumeria_(fire_emblem),"1girl, large_breasts, wings, fairy_wings, pointy_ears, thorns, ponytail, butterfly_wings, insect_wings, cleavage, flower, crown_of_thorns"
lyn_(lady_of_the_beach)_(fire_emblem),"1girl, large_breasts, medium_breasts, swimsuit, bikini, blue_bikini, ponytail, flower, hair_flower, cleavage, jewelry, earrings"
cardboard_box_gundam_(gundam),"1girl, 1boy, skirt, long_sleeves, animal_ears, pleated_skirt, gloves, long_hair, short_hair, blue_eyes, hair_between_eyes, blonde_hair"
elma_(xenoblade_x),"1girl, large_breasts, medium_breasts, gloves, armor, bodysuit, cleavage, pointy_ears, jacket, long_hair, white_hair, blue_eyes"
peter_quill_(guardians_of_the_galaxy),"1boy, jacket, mask, shirt, headphones, gloves, jewelry, pants, fingerless_gloves, open_shirt, facial_hair, short_hair"
kamen_rider_agito_(kamen_rider),"1boy, 1girl, armor, rider_belt, horns, bodysuit, belt, black_bodysuit, shoulder_armor, gold_horns, mask, red_armor"
oomuro_nadeshiko_(yuruyuri),"1girl, small_breasts, necktie, shirt, sweater_vest, pleated_skirt, skirt, white_shirt, collared_shirt, school_uniform, long_sleeves, blue_necktie"
baltimore_(black_ace)_(azur_lane),"1girl, large_breasts, sports_bra, white_sports_bra, shorts, choker, black_shorts, braid, short_shorts, cleavage, collarbone, jacket"
hatori_chise_(mahou_tsukai_no_yome),"1girl, shirt, long_sleeves, white_shirt, collared_shirt, jewelry, skirt, sweater, wing_collar, dress, pleated_skirt, short_sleeves"
reunion_soldier_(arknights),"1girl, medium_breasts, hood, hood_up, gloves, jacket, animal_ears, black_boots, black_gloves, black_jacket, black_shorts, blue_jacket"
f91_gundam_(gundam),"1girl, mobile_suit, blue_eyes, glowing_eyes, green_eyes"
keith_(voltron),"1boy, boots, gloves, jacket, fingerless_gloves, shirt, armor, pants, sleeves_rolled_up, black_hair, purple_eyes, hair_between_eyes"
mym_(dragalia_lost),"1girl, large_breasts, horns, dragon_horns, cleavage, tail, dragon_tail, fang, gloves, skin_fang, long_bangs, thighhighs"
